Frequency,Ch1,Ch2,dPhase,Res[Om],Impedence
12.08,15,26.8,1.74,200.9,112.4440299
20.12,15,26.8,2.18,200.9,112.4440299
30.21,15,26.8,1.82,200.9,112.4440299
49.89,14.8,26.6,2.51,200.9,111.7789474
80.45,15,26.8,3.75,200.9,112.4440299
131.4,15,26.8,6.17,200.9,112.4440299
209.8,15,26.8,9.05,200.9,112.4440299
300.5,15,26.8,12.6,200.9,112.4440299
500.8,15.2,26.6,18.8,200.9,114.8
898.1,16.8,26.4,30.4,200.9,127.8454545
1403,19.6,25.8,39.9,200.9,152.6217054
2195,24,24.2,51.3,200.9,199.2396694
3613,30.6,21.4,62.1,200.9,287.2682243
6012,36.6,15.6,70.1,200.9,471.3423077
9033,28,30,73.3,901.5,841.4
10490,14.4,38.8,80.2,2891.5,1073.134021
11980,18,37.2,77,2891.5,1399.112903
13510,22.4,33.8,72,2891.5,1916.260355
14960,38.6,13,61.6,901.5,2676.761538
14810,26.8,28.8,65,2891.5,2690.701389
16430,31.6,19.8,50.2,2891.5,4614.717172
18120,34,9.8,2.6,2891.5,10031.73469
18280,33.8,9.4,-6,2891.5,10397.09574
19510,32.6,15.8,-42.8,2891.5,5966.006329
21190,29.8,24.2,-62.7,2891.5,3560.607438
24010,24.4,32,-72.2,2891.5,2204.76875
37950,11.8,39.2,-76.7,2891.5,870.4005102
60900,26.8,33.8,-82.9,499.1,395.7360947
100400,18,37.4,-81.6,499.1,240.2085561
