0,0.03,RESIST,,VOL,CUR,ERR
1,1.2,10.2,,0.111,0.010882353,0.03
2,2.2,40.1,,0.42,0.010473815,0.03
3,3.2,200,,1.76,0.0088,0.03
4,4.1,990,,4.91,0.004959596,0.03
10,10.2,40000,,8.73,0.00021825,0.03
20,20.3,,, ,,
30,30.2,,,,,
40,40.1,,,,,
100,100.1,,,,,
200,200,,,,,
300,301.6,,,,,
400,399,,,,,
1000,990,,,,,
2000,1990,,,,,
3000,3000,,,,,
4000,4000,,,,,
10000,10010,,,,,
20000,20010,,,,,
30000,30190,,,,,
40000,40000,,,,,
100000,100300,,,,,
200000,200100,,,,,
300000,299800,,,,,
400000,400000,,,,,
1000000,999000,,,,,
2000000,2000000,,,,,
3000000,3017000,,,,,
4000000,4030000,,,,,
