mV,delt_mV,count_r,,C_t,C_te,C_tao,,O_t,O_te,O_tao,,R_t,R_te,R_tao
740,360,0,,0,0,0,,0,0,0,,0,0,0
760,448,0,,0,0,0,,0,0,0,,0,0,0
780,520,90.5,,0,0,0,,0,0,0,,0,0,0
800,632,90.24,,0,0,0,,0,0,0,,0,0,0
820,696,95,,9.80E-04,4.00E-05,1.41E-03,,3.30E-04,5.00E-06,4.76E-04,,3.70E-06,1.00E-07,5.34E-06
840,840,90,,9.60E-04,4.00E-05,1.38E-03,,3.90E-04,1.00E-05,5.63E-04,,3.40E-06,1.00E-07,4.91E-06
860,920,92,,9.80E-04,4.00E-05,1.41E-03,,4.00E-04,1.00E-05,5.77E-04,,3.30E-06,1.00E-07,4.76E-06
880,1080,95,,1.00E-03,3.00E-05,1.44E-03,,3.70E-04,1.00E-05,5.34E-04,,3.20E-06,1.00E-07,4.62E-06
900,1160,95,,1.08E-03,4.00E-05,1.56E-03,,3.70E-04,1.00E-05,5.34E-04,,3.10E-06,1.00E-07,4.47E-06
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,1.00E-03,,1.44E-03,,3.72E-04,,5.37E-04,,3.34E-06,,4.82E-06
